Layer	Latitude	Transport(m^3/s)
50	37.0000	1.419390e+03
50	37.0269	1.348214e+03
50	37.0538	1.272896e+03
50	37.0808	1.193733e+03
50	37.1077	1.110823e+03
50	37.1346	1.026774e+03
50	37.1615	9.442749e+02
50	37.1885	8.670505e+02
50	37.2154	7.989984e+02
50	37.2423	7.447653e+02
50	37.2692	7.115803e+02
50	37.2962	7.013193e+02
50	37.3231	7.087969e+02
50	37.3500	7.291796e+02
50	37.3769	7.606708e+02
50	37.4038	8.028571e+02
50	37.4308	8.556373e+02
50	37.4577	9.155613e+02
50	37.4846	9.766782e+02
50	37.5115	1.038913e+03
50	37.5385	1.092413e+03
50	37.5654	1.129935e+03
50	37.5923	1.156881e+03
50	37.6192	1.176052e+03
50	37.6462	1.183587e+03
50	37.6731	1.169783e+03
50	37.7000	1.128817e+03
50	37.7269	1.061230e+03
50	37.7538	9.811805e+02
50	37.7808	8.966710e+02
50	37.8077	8.054052e+02
50	37.8346	7.064781e+02
50	37.8615	5.986104e+02
50	37.8885	4.789159e+02
50	37.9154	3.451628e+02
50	37.9423	1.972000e+02
50	37.9692	4.215628e+01
50	37.9962	-1.115817e+02
50	38.0231	-2.281708e+02
50	38.0500	-2.979103e+02
50	38.0769	-3.230226e+02
50	38.1038	-3.129709e+02
50	38.1308	-2.729194e+02
50	38.1577	-2.046247e+02
50	38.1846	-1.136664e+02
50	38.2115	-6.940008e+00
50	38.2385	1.044868e+02
50	38.2654	2.215913e+02
50	38.2923	3.327462e+02
50	38.3192	4.142328e+02
50	38.3462	4.621619e+02
50	38.3731	4.564183e+02
50	38.4000	4.001270e+02
49	37.0000	2.363670e+03
49	37.0269	2.244136e+03
49	37.0538	2.116744e+03
49	37.0808	1.982993e+03
49	37.1077	1.843665e+03
49	37.1346	1.703333e+03
49	37.1615	1.566240e+03
49	37.1885	1.438238e+03
49	37.2154	1.325676e+03
49	37.2423	1.236715e+03
49	37.2692	1.183606e+03
49	37.2962	1.169160e+03
49	37.3231	1.184453e+03
49	37.3500	1.221174e+03
49	37.3769	1.276208e+03
49	37.4038	1.348805e+03
49	37.4308	1.438923e+03
49	37.4577	1.540956e+03
