Layer	Latitude	Transport(m^3/s)
50	37.0000	-1.314344e+02
50	37.0269	-1.342515e+02
50	37.0538	-1.380669e+02
50	37.0808	-1.416034e+02
50	37.1077	-1.443399e+02
50	37.1346	-1.439143e+02
50	37.1615	-1.403397e+02
50	37.1885	-1.340547e+02
50	37.2154	-1.265699e+02
50	37.2423	-1.194640e+02
50	37.2692	-1.138677e+02
50	37.2962	-1.075386e+02
50	37.3231	-1.063707e+02
50	37.3500	-1.152240e+02
50	37.3769	-1.449911e+02
50	37.4038	-1.977476e+02
50	37.4308	-2.705341e+02
50	37.4577	-3.607134e+02
50	37.4846	-4.645723e+02
50	37.5115	-5.699504e+02
50	37.5385	-6.681111e+02
50	37.5654	-7.560415e+02
50	37.5923	-8.320804e+02
50	37.6192	-8.941881e+02
50	37.6462	-9.438282e+02
50	37.6731	-9.836993e+02
50	37.7000	-1.013772e+03
50	37.7269	-1.034934e+03
50	37.7538	-1.045805e+03
50	37.7808	-1.049353e+03
50	37.8077	-1.050329e+03
50	37.8346	-1.052255e+03
50	37.8615	-1.054556e+03
50	37.8885	-1.051184e+03
50	37.9154	-1.039416e+03
50	37.9423	-1.023725e+03
50	37.9692	-1.005044e+03
50	37.9962	-9.814476e+02
50	38.0231	-9.439816e+02
50	38.0500	-9.066135e+02
50	38.0769	-8.692434e+02
50	38.1038	-8.362790e+02
50	38.1308	-8.116556e+02
50	38.1577	-7.975855e+02
50	38.1846	-7.921486e+02
50	38.2115	-7.897484e+02
50	38.2385	-7.843905e+02
50	38.2654	-7.609823e+02
50	38.2923	-7.219382e+02
50	38.3192	-6.769332e+02
50	38.3462	-6.337159e+02
50	38.3731	-5.992543e+02
50	38.4000	-5.775445e+02
49	37.0000	-2.897462e+02
49	37.0269	-2.900580e+02
49	37.0538	-2.921495e+02
49	37.0808	-2.939712e+02
49	37.1077	-2.946099e+02
49	37.1346	-2.898484e+02
49	37.1615	-2.795896e+02
49	37.1885	-2.647325e+02
49	37.2154	-2.476396e+02
49	37.2423	-2.307722e+02
49	37.2692	-2.160099e+02
49	37.2962	-2.001651e+02
49	37.3231	-1.934738e+02
49	37.3500	-2.039437e+02
49	37.3769	-2.494557e+02
49	37.4038	-3.327166e+02
49	37.4308	-4.481165e+02
49	37.4577	-5.907960e+02
49	37.4846	-7.542109e+02
49	37.5115	-9.187650e+02
49	37.5385	-1.070804e+03
49	37.5654	-1.206634e+03
49	37.5923	-1.324407e+03
49	37.6192	-1.420761e+03
49	37.6462	-1.497470e+03
49	37.6731	-1.558604e+03
49	37.7000	-1.604255e+03
49	37.7269	-1.635575e+03
49	37.7538	-1.649758e+03
49	37.7808	-1.650857e+03
49	37.8077	-1.647140e+03
49	37.8346	-1.645919e+03
49	37.8615	-1.647102e+03
49	37.8885	-1.640135e+03
49	37.9154	-1.618884e+03
49	37.9423	-1.589792e+03
49	37.9692	-1.555418e+03
49	37.9962	-1.514226e+03
49	38.0231	-1.452905e+03
49	38.0500	-1.391482e+03
49	38.0769	-1.328880e+03
49	38.1038	-1.272168e+03
49	38.1308	-1.228444e+03
49	38.1577	-1.202587e+03
49	38.1846	-1.192994e+03
49	38.2115	-1.191314e+03
49	38.2385	-1.186735e+03
49	38.2654	-1.153301e+03
49	38.2923	-1.092525e+03
49	38.3192	-1.018898e+03
49	38.3462	-9.459090e+02
49	38.3731	-8.861155e+02
49	38.4000	-8.470793e+02
48	37.0000	-6.626735e+02
48	37.0269	-6.465325e+02
48	37.0538	-6.337753e+02
48	37.0808	-6.231874e+02
48	37.1077	-6.138521e+02
48	37.1346	-5.978578e+02
48	37.1615	-5.723100e+02
48	37.1885	-5.375125e+02
48	37.2154	-4.977542e+02
48	37.2423	-4.558359e+02
48	37.2692	-4.116578e+02
48	37.2962	-3.638441e+02
48	37.3231	-3.309008e+02
48	37.3500	-3.243123e+02
48	37.3769	-3.698123e+02
48	37.4038	-4.714688e+02
48	37.4308	-6.201534e+02
48	37.4577	-8.076047e+02
48	37.4846	-1.024596e+03
48	37.5115	-1.244175e+03
48	37.5385	-1.446651e+03
48	37.5654	-1.627208e+03
48	37.5923	-1.783665e+03
48	37.6192	-1.911475e+03
48	37.6462	-2.012962e+03
48	37.6731	-2.093611e+03
48	37.7000	-2.153420e+03
48	37.7269	-2.193432e+03
48	37.7538	-2.209531e+03
48	37.7808	-2.206474e+03
48	37.8077	-2.195894e+03
48	37.8346	-2.188819e+03
48	37.8615	-2.185826e+03
48	37.8885	-2.172254e+03
48	37.9154	-2.138848e+03
48	37.9423	-2.093933e+03
48	37.9692	-2.041183e+03
48	37.9962	-1.979441e+03
48	38.0231	-1.892472e+03
48	38.0500	-1.805399e+03
48	38.0769	-1.716361e+03
48	38.1038	-1.635071e+03
