Layer	Longitude	Transport(m^3/s)
50	18.0000	-1.520369e+03
50	18.0333	-1.488447e+03
50	18.0667	-1.466884e+03
50	18.1000	-1.450925e+03
50	18.1333	-1.438352e+03
50	18.1667	-1.425063e+03
50	18.2000	-1.409939e+03
50	18.2333	-1.391838e+03
50	18.2667	-1.368091e+03
50	18.3000	-1.343324e+03
50	18.3333	-1.323635e+03
50	18.3667	-1.307846e+03
50	18.4000	-1.294776e+03
50	18.4333	-1.282638e+03
50	18.4667	-1.270502e+03
50	18.5000	-1.257447e+03
50	18.5333	-1.241867e+03
50	18.5667	-1.230092e+03
50	18.6000	-1.221384e+03
50	18.6333	-1.215721e+03
50	18.6667	-1.211976e+03
50	18.7000	-1.208082e+03
50	18.7333	-1.205235e+03
50	18.7667	-1.203946e+03
50	18.8000	-1.210971e+03
50	18.8333	-1.228486e+03
50	18.8667	-1.242012e+03
50	18.9000	-1.239591e+03
50	18.9333	-1.241062e+03
50	18.9667	-1.259909e+03
50	19.0000	-1.267787e+03
50	19.0333	-1.278315e+03
50	19.0667	-1.290408e+03
50	19.1000	-1.303355e+03
50	19.1333	-1.312504e+03
50	19.1667	-1.316240e+03
50	19.2000	-1.311502e+03
50	19.2333	-1.292348e+03
50	19.2667	-1.258536e+03
50	19.3000	-1.215934e+03
50	19.3333	-1.166710e+03
50	19.3667	-1.110952e+03
50	19.4000	-1.049518e+03
50	19.4333	-9.826312e+02
50	19.4667	-9.126624e+02
50	19.5000	-8.265493e+02
49	18.0000	-2.552309e+03
49	18.0333	-2.504026e+03
49	18.0667	-2.473838e+03
49	18.1000	-2.453067e+03
49	18.1333	-2.436436e+03
49	18.1667	-2.416516e+03
49	18.2000	-2.392577e+03
49	18.2333	-2.364210e+03
49	18.2667	-2.327942e+03
49	18.3000	-2.291561e+03
49	18.3333	-2.264363e+03
49	18.3667	-2.243480e+03
49	18.4000	-2.226920e+03
49	18.4333	-2.211771e+03
49	18.4667	-2.195964e+03
49	18.5000	-2.177511e+03
49	18.5333	-2.153927e+03
49	18.5667	-2.136224e+03
49	18.6000	-2.122455e+03
49	18.6333	-2.111989e+03
49	18.6667	-2.103319e+03
49	18.7000	-2.094148e+03
49	18.7333	-2.087696e+03
49	18.7667	-2.085023e+03
49	18.8000	-2.097560e+03
49	18.8333	-2.128671e+03
49	18.8667	-2.152832e+03
49	18.9000	-2.149278e+03
49	18.9333	-2.152457e+03
49	18.9667	-2.185589e+03
49	19.0000	-2.199810e+03
49	19.0333	-2.217950e+03
49	19.0667	-2.239152e+03
49	19.1000	-2.262939e+03
49	19.1333	-2.281826e+03
49	19.1667	-2.292754e+03
49	19.2000	-2.289408e+03
49	19.2333	-2.260485e+03
49	19.2667	-2.204916e+03
49	19.3000	-2.132835e+03
49	19.3333	-2.048600e+03
49	19.3667	-1.953167e+03
49	19.4000	-1.848790e+03
49	19.4333	-1.736749e+03
49	19.4667	-1.621299e+03
49	19.5000	-1.479586e+03
48	18.0000	-3.354916e+03
48	18.0333	-3.283730e+03
48	18.0667	-3.237509e+03
48	18.1000	-3.206170e+03
48	18.1333	-3.183223e+03
48	18.1667	-3.158806e+03
48	18.2000	-3.131998e+03
48	18.2333	-3.101173e+03
48	18.2667	-3.061573e+03
48	18.3000	-3.024378e+03
48	18.3333	-3.002821e+03
48	18.3667	-2.993832e+03
48	18.4000	-2.993020e+03
48	18.4333	-2.995329e+03
48	18.4667	-2.996990e+03
48	18.5000	-2.993402e+03
48	18.5333	-2.979491e+03
48	18.5667	-2.971421e+03
48	18.6000	-2.967830e+03
48	18.6333	-2.967516e+03
48	18.6667	-2.968238e+03
48	18.7000	-2.966618e+03
48	18.7333	-2.968353e+03
48	18.7667	-2.974741e+03
48	18.8000	-3.003121e+03
48	18.8333	-3.058272e+03
48	18.8667	-3.103249e+03
48	18.9000	-3.108053e+03
48	18.9333	-3.121354e+03
48	18.9667	-3.177311e+03
48	19.0000	-3.205144e+03
48	19.0333	-3.236664e+03
48	19.0667	-3.271797e+03
48	19.1000	-3.312301e+03
48	19.1333	-3.347722e+03
48	19.1667	-3.371598e+03
48	19.2000	-3.372555e+03
48	19.2333	-3.333359e+03
48	19.2667	-3.252168e+03
48	19.3000	-3.144065e+03
48	19.3333	-3.017751e+03
48	19.3667	-2.878378e+03
48	19.4000	-2.730180e+03
48	19.4333	-2.574155e+03
48	19.4667	-2.415485e+03
48	19.5000	-2.221762e+03
47	18.0000	-2.760019e+03
47	18.0333	-2.629178e+03
47	18.0667	-2.525658e+03
47	18.1000	-2.449486e+03
47	18.1333	-2.399245e+03
47	18.1667	-2.370395e+03
47	18.2000	-2.356645e+03
47	18.2333	-2.347320e+03
47	18.2667	-2.330870e+03
47	18.3000	-2.322845e+03
47	18.3333	-2.346371e+03
47	18.3667	-2.402382e+03
47	18.4000	-2.478851e+03
47	18.4333	-2.565573e+03
47	18.4667	-2.658016e+03
47	18.5000	-2.747859e+03
47	18.5333	-2.818932e+03
47	18.5667	-2.895122e+03
47	18.6000	-2.985823e+03
47	18.6333	-3.089182e+03
47	18.6667	-3.195464e+03
47	18.7000	-3.292805e+03
47	18.7333	-3.379344e+03
47	18.7667	-3.457131e+03
47	18.8000	-3.551292e+03
47	18.8333	-3.687526e+03
47	18.8667	-3.812252e+03
47	18.9000	-3.899271e+03
47	18.9333	-4.009529e+03
47	18.9667	-4.145031e+03
47	19.0000	-4.236432e+03
47	19.0333	-4.316171e+03
47	19.0667	-4.395544e+03
47	19.1000	-4.483811e+03
47	19.1333	-4.567751e+03
47	19.1667	-4.626655e+03
47	19.2000	-4.638683e+03
47	19.2333	-4.578858e+03
47	19.2667	-4.445666e+03
47	19.3000	-4.262663e+03
47	19.3333	-4.050589e+03
47	19.3667	-3.839499e+03
47	19.4000	-3.642409e+03
47	19.4333	-3.445756e+03
47	19.4667	-3.249291e+03
47	19.5000	-3.021758e+03
46	18.0000	2.586230e+02
46	18.0333	4.141587e+02
46	18.0667	5.396773e+02
46	18.1000	6.260842e+02
46	18.1333	6.879228e+02
46	18.1667	7.150164e+02
46	18.2000	7.250569e+02
46	18.2333	7.245805e+02
46	18.2667	7.342675e+02
46	18.3000	7.423693e+02
46	18.3333	7.182596e+02
46	18.3667	6.667043e+02
46	18.4000	5.914271e+02
46	18.4333	4.985615e+02
46	18.4667	3.851484e+02
46	18.5000	2.413932e+02
46	18.5333	8.504368e+01
46	18.5667	-1.074297e+02
46	18.6000	-3.599386e+02
46	18.6333	-6.722590e+02
46	18.6667	-1.005590e+03
46	18.7000	-1.340565e+03
46	18.7333	-1.638575e+03
46	18.7667	-1.867424e+03
46	18.8000	-2.109797e+03
46	18.8333	-2.433606e+03
46	18.8667	-2.746713e+03
46	18.9000	-3.096236e+03
46	18.9333	-3.499031e+03
46	18.9667	-3.783412e+03
46	19.0000	-4.016510e+03
46	19.0333	-4.204777e+03
46	19.0667	-4.405956e+03
46	19.1000	-4.612349e+03
46	19.1333	-4.805930e+03
46	19.1667	-4.946467e+03
46	19.2000	-5.014784e+03
46	19.2333	-4.985948e+03
46	19.2667	-4.861712e+03
46	19.3000	-4.674023e+03
46	19.3333	-4.446286e+03
46	19.3667	-4.223409e+03
46	19.4000	-4.017139e+03
46	19.4333	-3.800948e+03
46	19.4667	-3.565004e+03
46	19.5000	-3.303167e+03
45	18.0000	6.497955e+02
45	18.0333	8.908163e+02
45	18.0667	1.092035e+03
45	18.1000	1.239826e+03
45	18.1333	1.337627e+03
45	18.1667	1.383734e+03
45	18.2000	1.388513e+03
45	18.2333	1.365310e+03
45	18.2667	1.335024e+03
45	18.3000	1.309446e+03
45	18.3333	1.289464e+03
45	18.3667	1.274832e+03
45	18.4000	1.258859e+03
45	18.4333	1.234127e+03
45	18.4667	1.198094e+03
45	18.5000	1.149480e+03
45	18.5333	1.077153e+03
45	18.5667	9.766829e+02
45	18.6000	8.422419e+02
45	18.6333	6.871191e+02
45	18.6667	5.471461e+02
45	18.7000	3.811792e+02
45	18.7333	1.603062e+02
45	18.7667	3.879443e+01
45	18.8000	-2.825411e+02
45	18.8333	-6.247311e+02
45	18.8667	-9.755615e+02
45	18.9000	-1.361209e+03
45	18.9333	-1.435959e+03
45	18.9667	-1.329547e+03
45	19.0000	-1.267825e+03
45	19.0333	-1.337821e+03
45	19.0667	-1.510224e+03
45	19.1000	-1.737297e+03
45	19.1333	-1.964436e+03
45	19.1667	-2.124845e+03
45	19.2000	-2.182783e+03
45	19.2333	-2.143422e+03
45	19.2667	-2.018933e+03
45	19.3000	-1.834159e+03
45	19.3333	-1.632047e+03
45	19.3667	-1.413853e+03
45	19.4000	-1.151028e+03
45	19.4333	-8.357960e+02
45	19.4667	-4.780499e+02
45	19.5000	-9.434130e+01
