Layer	Longitude	Transport(m^3/s)
50	18.0000	3.381546e+02
50	18.0333	3.374770e+02
50	18.0667	3.286407e+02
50	18.1000	3.068010e+02
50	18.1333	2.649640e+02
50	18.1667	2.000850e+02
50	18.2000	1.286335e+02
50	18.2333	5.761990e+01
50	18.2667	1.518934e+01
50	18.3000	-9.844799e+00
50	18.3333	-2.285541e+01
50	18.3667	4.245253e+00
50	18.4000	6.383683e+01
50	18.4333	1.171204e+02
50	18.4667	1.846331e+02
50	18.5000	2.789056e+02
50	18.5333	3.778507e+02
50	18.5667	4.661194e+02
50	18.6000	5.439142e+02
50	18.6333	6.080063e+02
50	18.6667	6.598265e+02
50	18.7000	7.002111e+02
50	18.7333	7.303141e+02
50	18.7667	7.511121e+02
50	18.8000	7.657201e+02
50	18.8333	7.804525e+02
50	18.8667	8.002689e+02
50	18.9000	8.276954e+02
50	18.9333	8.643610e+02
50	18.9667	9.120827e+02
50	19.0000	9.701472e+02
50	19.0333	1.031258e+03
50	19.0667	1.082588e+03
50	19.1000	1.128710e+03
50	19.1333	1.169757e+03
50	19.1667	1.209068e+03
50	19.2000	1.249221e+03
50	19.2333	1.287435e+03
50	19.2667	1.318522e+03
50	19.3000	1.337350e+03
50	19.3333	1.343474e+03
50	19.3667	1.334543e+03
50	19.4000	1.312276e+03
50	19.4333	1.289566e+03
50	19.4667	1.282369e+03
50	19.5000	1.297282e+03
49	18.0000	5.861148e+02
49	18.0333	5.798231e+02
49	18.0667	5.626870e+02
49	18.1000	5.286484e+02
49	18.1333	4.654464e+02
49	18.1667	3.658828e+02
49	18.2000	2.549594e+02
49	18.2333	1.436028e+02
49	18.2667	7.620834e+01
49	18.3000	3.541529e+01
49	18.3333	1.325981e+01
49	18.3667	5.595787e+01
49	18.4000	1.519365e+02
49	18.4333	2.381156e+02
49	18.4667	3.484641e+02
49	18.5000	5.041780e+02
49	18.5333	6.688287e+02
49	18.5667	8.179762e+02
49	18.6000	9.508233e+02
49	18.6333	1.060199e+03
49	18.6667	1.147461e+03
49	18.7000	1.214080e+03
49	18.7333	1.262384e+03
49	18.7667	1.294181e+03
49	18.8000	1.314750e+03
49	18.8333	1.335180e+03
49	18.8667	1.364938e+03
49	18.9000	1.409445e+03
49	18.9333	1.472057e+03
49	18.9667	1.555781e+03
49	19.0000	1.658662e+03
49	19.0333	1.765660e+03
49	19.0667	1.851664e+03
49	19.1000	1.921819e+03
49	19.1333	1.977625e+03
49	19.1667	2.031160e+03
49	19.2000	2.096058e+03
49	19.2333	2.172581e+03
49	19.2667	2.246186e+03
49	19.3000	2.295988e+03
49	19.3333	2.312971e+03
49	19.3667	2.291609e+03
49	19.4000	2.236333e+03
49	19.4333	2.170392e+03
49	19.4667	2.121533e+03
49	19.5000	2.103307e+03
48	18.0000	9.029808e+02
48	18.0333	8.885505e+02
48	18.0667	8.612423e+02
48	18.1000	8.146946e+02
48	18.1333	7.304918e+02
48	18.1667	5.959963e+02
48	18.2000	4.453584e+02
48	18.2333	2.933178e+02
48	18.2667	1.997743e+02
48	18.3000	1.408790e+02
48	18.3333	1.066638e+02
48	18.3667	1.622478e+02
48	18.4000	2.941705e+02
48	18.4333	4.125609e+02
48	18.4667	5.646951e+02
48	18.5000	7.813134e+02
48	18.5333	1.008203e+03
48	18.5667	1.212886e+03
48	18.6000	1.394935e+03
48	18.6333	1.542564e+03
48	18.6667	1.658526e+03
48	18.7000	1.746245e+03
48	18.7333	1.808559e+03
48	18.7667	1.846783e+03
48	18.8000	1.867231e+03
48	18.8333	1.885152e+03
48	18.8667	1.914650e+03
48	18.9000	1.964755e+03
48	18.9333	2.040931e+03
48	18.9667	2.146062e+03
48	19.0000	2.276957e+03
48	19.0333	2.413042e+03
48	19.0667	2.520090e+03
48	19.1000	2.606535e+03
48	19.1333	2.674879e+03
48	19.1667	2.742427e+03
48	19.2000	2.829156e+03
48	19.2333	2.934599e+03
48	19.2667	3.036447e+03
48	19.3000	3.106799e+03
48	19.3333	3.135886e+03
48	19.3667	3.113492e+03
48	19.4000	3.042036e+03
48	19.4333	2.952866e+03
48	19.4667	2.883352e+03
48	19.5000	2.851881e+03
47	18.0000	1.250176e+03
47	18.0333	1.226143e+03
47	18.0667	1.189599e+03
47	18.1000	1.130665e+03
47	18.1333	1.028426e+03
47	18.1667	8.598337e+02
47	18.2000	6.689121e+02
47	18.2333	4.735623e+02
47	18.2667	3.473060e+02
47	18.3000	2.555666e+02
47	18.3333	1.943592e+02
47	18.3667	2.573409e+02
47	18.4000	4.382555e+02
47	18.4333	5.985320e+02
47	18.4667	7.856376e+02
47	18.5000	1.054542e+03
47	18.5333	1.317966e+03
47	18.5667	1.523125e+03
47	18.6000	1.678229e+03
47	18.6333	1.781177e+03
47	18.6667	1.857014e+03
47	18.7000	1.918739e+03
47	18.7333	1.964108e+03
47	18.7667	1.984535e+03
47	18.8000	1.980153e+03
47	18.8333	1.964609e+03
47	18.8667	1.948620e+03
